Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Поволжский государственный технологический университет ; 68.3; 2.4; 1301; 0; Нет;бакалавриат;100;118.0;114600;магистратура;20;40.0;44850;424000, Республика Марий Эл, г.Йошкар-Ола, пл. Ленина, д.3;False;True
 Поволжский государственный университет телекоммуникаций и информатики ; 62.7; 0.4; 820; 0; Нет;бакалавриат;28;159.0;55000;магистратура;0;0.0;45500;443010, г.Самара, Льва Толстого, д.23;False;True
 Псковский государственный университет; 67.8; -2.5; 600; 0; Нет;бакалавриат;25;149.0;124740;0;0;0;0;180000, г.Псков, пл. Ленина, д.2;False;True
 Российский государственный геологоразведочный университет имени Серго Орджоникидзе ; 67.1; -0.8; 382; 0; Да;бакалавриат;22;215.0;215000;0;0;0;0;117997, г.Москва, ул. Миклухо-Маклая,  д. 23;False;True
 Российский государственный гидрометеорологический университет ; 69.5; -0.3; 466; 0; Нет;бакалавриат;;;;0;0;0;0;192007 , Санкт-Петербург, ул. Воронежская, д.79;True;True
 Российский государственный профессионально-педагогический университет ; 73.2; -3.6; 504; 0; Нет;бакалавриат;44;185.0;145200;0;0;0;0;620012, Свердловская область, г. Екатеринбург, ул. Машиностроителей, д. 11;False;False
 Российский университет дружбы народов ; 86.3; 3.5; 1029; 202; Да;бакалавриат;19;241.0;274600;0;0;0;0;117198, г.Москва, ул. Миклухо-Маклая, д.6;False;True
 Российский университет транспорта (МИИТ); 64.0; 0.2; 1757; 0; Да;бакалавриат;9;247.0;86000;магистратура;5;82.0;116000;127994, г. Москва, ул. Образцова, д. 9, стр. 9;True;True
 Российский экономический университет имени Г.В. Плеханова ; 88.7; 0.5; 630; 66; Да;бакалавриат;35;264.0;290000;магистратура;35;68.0;294000;117997, г. Москва, Стремянный пер., д. 36;False;False
 Рыбинский государственный авиационный технический университет имени П.А. Соловьева; 60.5; -0.8; 391; 0; Да;бакалавриат;0;0.0;49900;магистратура;10;40.0;144900;152934, Ярославская область, г.Рыбинск, ул.Пушкина, д.53;False;True
 Рязанский государственный радиотехнический университет; 65.6; 1.3; 834; 1; Нет;бакалавриат;;;;магистратура;;;;390005, г.Рязань, ул.Гагарина 59/1;True;True
 Самарский государственный технический университет; 68.1; 1; 2012; 6; Нет;бакалавриат;32;209.0;132500;0;0;0;0;443100, г.Самара, ул.Молодогвардейская, 244;True;True
 Санкт-Петербургский государственный университет; 92.0; 0.1; 2136; 366; Да;бакалавриат;9;252.0;180000;магистратура;0;0.0;96000;191186, г.Санкт-Петербург, ул.Большая Морская, д.18;False;True
 Санкт-Петербургский государственный университет аэрокосмического приборостроения; 81.3; 3.8; 1356; 11; Нет;бакалавриат;20;228.0;70000;магистратура;15;0.0;80000;190000, г.Санкт-Петербург, ул.Большая Морская, д.67, лит.А;True;True
 Санкт-Петербургский государственный университет промышленных технологий и дизайна; 79.5; -1.1; 906; 208; Да;бакалавриат;9;252.0;180000;магистратура;0;0.0;96000;191186, г.Санкт-Петербург, ул.Большая Морская, д.18;False;True
 Санкт-Петербургский государственный экономический университет; 85.7; -0.3; 512; 12; Да;бакалавриат;40;251.0;228900;магистратура;21;54.0;243900;191023, Санкт-Петербург, наб. канала Грибоедова, д. 30-32, литер А;False;True
 Санкт-Петербургский политехнический университет Петра Великого; 82.6; 0.2; 2958; 133; Да;бакалавриат;0;0.0;80000;магистратура;14;35.0;220000;195251, г.Санкт-Петербург, ул.Политехническая, 29;True;True
 Саратовский государственный технический университет; 66.5; 1.8; 1098; 0; Нет;бакалавриат;35;206.0;113080;магистратура;12;70.0;113080;410054, г.Саратов, ул.Политехническая, д. 77;True;True
 Саратовский национальный исследовательский государственный университет имени Н. Г. Чернышевского; 69.9; 1.2; 1568; 3; Да;бакалавриат;;;;магистратура;;;;410012, г.Саратов, ул.Астраханская, 83;False;True
 Севастопольский государственный университет; 65.8; -0.6; 1724; 0; Да;бакалавриат;191;196.0;114000;магистратура;16;136.0;121000;299053, г.Севастополь, ул.Университетская, д.33;True;True
