university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements
 Псковский государственный университет; 67.8; -2.5; 600; 0; Нет;бакалавриат;25;149.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Псковский государственный университет""";7f000001-79c1-1a03-8179-c14e57fb07e9
 Российский государственный геологоразведочный университет имени Серго Орджоникидзе ; 67.1; -0.8; 382; 0; Да;бакалавриат;22;215.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный геологоразведочный университет имени Серго Орджоникидзе»;7f000001-79c1-1a03-8179-c14e4fa7078b
 Российский государственный гидрометеорологический университет ; 69.5; -0.3; 466; 0; Нет;бакалавриат;;;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный гидрометеорологический университет»;7f000001-79c1-1a03-8179-c14e4fb7078c
 Российский государственный профессионально-педагогический университет ; 73.2; -3.6; 504; 0; Нет;бакалавриат;44;185.0;ФГАОУ ВО «Российский государственный профессионально-педагогический университет» (РГППУ);7f000001-79c1-1a03-8179-c14e4ff1078f
 Российский университет дружбы народов ; 86.3; 3.5; 1029; 202; Да;бакалавриат;19;241.0;Федеральное государственное автономное образовательное учреждение высшего образования «Российский университет дружбы народов»;7f000001-79c1-1a03-8179-c14e50520793
 Российский университет транспорта (МИИТ); 64.0; 0.2; 1757; 0; Да;бакалавриат;9;247.0;ФГБОУ ВО «Российский университет транспорта (МИИТ)» (РУТ (МИИТ));7f000001-79c1-1a03-8179-c14e589107f1
 Российский экономический университет имени Г.В. Плеханова ; 88.7; 0.5; 630; 66; Да;бакалавриат;35;264.0;ФГБОУ ВО «Российский экономический университет имени Г.В. Плеханова» (РЭУ им. Г.В. Плеханова) ;7f000001-79c1-1a03-8179-c14e4f97078a
 Рыбинский государственный авиационный технический университет имени П.А. Соловьева; 60.5; -0.8; 391; 0; Да;бакалавриат;0;0.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Рыбинский государственный авиационный технический университет имени П.А. Соловьева""";7f000001-79c1-1a03-8179-c14e50860796
 Рязанский государственный радиотехнический университет; 65.6; 1.3; 834; 1; Нет;бакалавриат;;;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Рязанский государственный радиотехнический университет имени В.Ф. Уткина""";7f000001-79c1-1a03-8179-c14e50980797
 Самарский государственный технический университет; 68.1; 1; 2012; 6; Нет;бакалавриат;32;209.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Самарский государственный технический университет""";7f000001-79c1-1a03-8179-c14e518907a5
 Санкт-Петербургский государственный университет; 92.0; 0.1; 2136; 366; Да;бакалавриат;9;252.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет промышленных технологий и дизайна»;7f000001-79c1-1a03-8179-c14e515707a2
 Санкт-Петербургский государственный университет аэрокосмического приборостроения; 81.3; 3.8; 1356; 11; Нет;бакалавриат;20;228.0;Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет аэрокосмического приборостроения»;7f000001-79c1-1a03-8179-c14e514707a1
 Санкт-Петербургский государственный университет промышленных технологий и дизайна; 79.5; -1.1; 906; 208; Да;бакалавриат;9;252.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет промышленных технологий и дизайна»;7f000001-79c1-1a03-8179-c14e515707a2
 Санкт-Петербургский государственный экономический университет; 85.7; -0.3; 512; 12; Да;бакалавриат;40;251.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный экономический университет»;7f000001-79c1-1a03-8179-c14e77f1091b
 Санкт-Петербургский политехнический университет Петра Великого; 82.6; 0.2; 2958; 133; Да;бакалавриат;0;0.0;Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»;7f000001-79c1-1a03-8179-c14e5125079f
 Саратовский государственный технический университет; 66.5; 1.8; 1098; 0; Нет;бакалавриат;35;206.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский государственный технический университет имени Гагарина Ю.А.»;7f000001-79c1-1a03-8179-c14e51bc07a8
 Саратовский национальный исследовательский государственный университет имени Н. Г. Чернышевского; 69.9; 1.2; 1568; 3; Да;бакалавриат;;;Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского»;7f000001-79c1-1a03-8179-c14e51cc07a9
 Севастопольский государственный университет; 65.8; -0.6; 1724; 0; Да;бакалавриат;191;196.0;Федеральное государственное автономное образовательное учреждение высшего образования «Севастопольский государственный университет»;7f000001-79c1-1a03-8179-c14e84140985
 Северо-Кавказский горно-металлургический институт (государственный технологический университет) ; 52.8; -6; 617; 0; Да;бакалавриат;36;146.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Северо-Кавказский горно-металлургический институт (государственный технологический университет)»;7f000001-79c1-1a03-8179-c14e51ff07ac
 Сибирский государственный автомобильно-дорожный университет ; 62.5; -0.7; 546; 0; Нет;бакалавриат;;;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Сибирский государственный автомобильно-дорожный университет (СибАДИ)""";7f000001-79c1-1a03-8179-c14e523607af
 Сибирский государственный индустриальный университет ; 65.3; 2.3; 1095; 1; Нет;бакалавриат;30;125.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Сибирский государственный индустриальный университет""";7f000001-79c1-1a03-8179-c14e526507b2
 Сибирский государственный университет путей сообщения ; 62.6; -2.8; 562; 2; Да;бакалавриат;16;200.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Сибирский государственный университет путей сообщения»;7f000001-79c1-1a03-8179-c14e61a80865
 Сибирский государственный университет телекоммуникаций и информатики ; 65.5; -4; 948; 0; Да;бакалавриат;0;0.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Сибирский государственный университет телекоммуникаций и информатики»;7f000001-79c1-1a03-8179-c14e61e80868
 Сибирский федеральный университет; 70.1; -1; 3337; 8; Да;бакалавриат;20;;ФГАОУ ВО «Сибирский федеральный университет» (СФУ);7f000001-79c1-1a03-8179-c14e57b707e5
 Смоленский государственный университет; 71.0; 1.8; 321; 0; Да;бакалавриат;;;Федеральное государственное бюджетное образовательное учреждение высшего образования «Смоленский государственный университет» (СмолГУ);7f000001-79c1-1a03-8179-c14e527507b3
 Сочинский государственный университет; 66.6; -1.6; 412; 0; Нет;бакалавриат;75;197.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Сочинский государственный университет»;7f000001-79c1-1a03-8179-c14e528507b4
 Сыктывкарский государственный университет; 67.6; 0.4; 750; 1; Нет;бакалавриат;50;194.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Сыктывкарский государственный университет имени Питирима Сорокина""";7f000001-79c1-1a03-8179-c14e529507b5
 Тамбовский государственный университет имени Г.Р. Державина; 67.6; -0.9; 929; 0; Нет;бакалавриат;0;0.0;ФГБОУ ВО «Тамбовский государственный университет  имени Г.Р. Державина»;7f000001-79c1-1a03-8179-c14e52b607b7
 Тверской государственный технический университет; 61.6; -0.4; 552; 0; Нет;бакалавриат;15;169.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Тверской государственный технический университет»;7f000001-79c1-1a03-8179-c14e52c707b8
 Тверской государственный университет; 68.6; -3.5; 856; 0; Да;бакалавриат;15;169.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Тверской государственный технический университет»;7f000001-79c1-1a03-8179-c14e52c707b8
 Тольяттинский государственный университет; 64.4; -0.8; 834; 0; Да;бакалавриат;0;0.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Тольяттинский государственный университет»;7f000001-79c1-1a03-8179-c14e52e907ba
 Томский государственный архитектурно-строительный университет; 70.6; 0.5; 670; 0; Нет;бакалавриат;;;Федеральное государственное бюджетное образовательное учреждение высшего образования «Томский государственный архитектурно-строительный университет»;7f000001-79c1-1a03-8179-c14e52fa07bb
 Томский государственный университет систем управления и радиоэлектроники; 68.7; -0.3; 1236; 3; Нет;бакалавриат;13;184.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Томский государственный университет систем управления и радиоэлектроники""";7f000001-79c1-1a03-8179-c14e532d07be
 Тульский государственный университет; 65.7; -2.2; 1393; 0; Да;бакалавриат;25;125.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тульский государственный педагогический университет им. Л.Н. Толстого""";7f000001-79c1-1a03-8179-c14e534e07c0
 Тюменский государственный университет; 77.9; -0.8; 1408; 18; Да;бакалавриат;15;241.0;ФГАОУ ВО «Тюменский государственный университет» (ТюмГУ);7f000001-79c1-1a03-8179-c14e539007c4
 Удмуртский государственный университет ; 67.2; -1.6; 1264; 6; Да;бакалавриат;;;ФГБОУ ВО «Удмуртский государственный университет» (УдГУ);7f000001-79c1-1a03-8179-c14e53a107c5
 Ульяновский государственный технический университет; 66.8; 0.8; 888; 1; Да;бакалавриат;40;175.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский государственный технический университет»;7f000001-79c1-1a03-8179-c14e53c507c7
 Ульяновский государственный университет; 66.3; -1; 853; 0; Нет;бакалавриат;40;175.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский государственный технический университет»;7f000001-79c1-1a03-8179-c14e53c507c7
 Уральский государственный лесотехнический университет ; 64.0; -0.6; 683; 0; Нет;бакалавриат;25;208.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный лесотехнический университет»;7f000001-79c1-1a03-8179-c14e542907cc
 Уральский федеральный университет имени Б.Н. Ельцина; 76.2; -1.4; 4422; 122; Да;бакалавриат;0;0.0;ФГАОУ ВО «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина» (УРФУ);7f000001-79c1-1a03-8179-c14e54f807ce
 Уфимский государственный авиационный технический университет; 69.2; -1.2; 1404; 7; Нет;бакалавриат;0;0.0;ФГБОУ ВО «Уфимский государственный авиационный технический университет» (УГАТУ);7f000001-79c1-1a03-8179-c14e556307d0
 Уфимский государственный нефтяной технический университет; 73.4; -2.8; 1766; 33; Да;бакалавриат;10;0.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Уфимский государственный нефтяной технический университет»;7f000001-79c1-1a03-8179-c14e558f07d1
 Челябинский государственный университет; 71.9; -0.3; 819; 12; Нет;бакалавриат;0;0.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Челябинский государственный университет""";7f000001-79c1-1a03-8179-c14e564807d6
 Чеченский государственный педагогический университет ; 61.1; 2.8; 776; 0; Нет;бакалавриат;25;158.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Чеченский государственный педагогический университет"" ";ac120004-79f5-1ff6-8179-f63ade230473
