university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements
 Кемеровский гос. медицинский ун-т.; 67.5; -2.9; 654; 0; Да
 Кемеровский гос. ун-т.; 65.8; -0.1; 1334; 3; Нет
 Кемеровский гос. ун-т.; 65.8; -0.1; 1334; 3; Нет
 Кировский гос. медицинский ун-т.; 73.4; 0.5; 375; 0; Да
 Кировский гос. медицинский ун-т.; 73.4; 0.5; 375; 0; Да
 Комсомольский-на-Амуре гос. техн. ун-т.; 58.4; -0.5; 666; 0; Нет
 Комсомольский-на-Амуре гос. техн. ун-т.; 58.4; -0.5; 666; 0; Нет
 Костромская гос. сельскохозяйственная академия; 53.7; -0.8; 360; 0; Да
 Костромская гос. сельскохозяйственная академия; 53.7; -0.8; 360; 0; Да
 Костромской гос. ун-т.; 66.0; -0.5; 703; 0; Да
 Костромской гос. ун-т.; 66.0; -0.5; 703; 0; Да
 Красноярский гос. аграрный ун-т.; 53.7; 0.1; 599; 0; Нет
 Красноярский гос. аграрный ун-т.; 53.7; 0.1; 599; 0; Нет
 Красноярский гос. медицинский ун-т. им. В.Ф. Войно-Ясенецкого; 70.4; -4.6; 476; 5; Да
 Красноярский гос. медицинский ун-т. им. В.Ф. Войно-Ясенецкого; 70.4; -4.6; 476; 5; Да
 Красноярский гос. педагогический ун-т. им. В.П. Астафьева; 68.5; -0.6; 712; 1; Да
 Красноярский гос. педагогический ун-т. им. В.П. Астафьева; 68.5; -0.6; 712; 1; Да
 Крымский инженерно-педагогический ун-т., г. Симферополь; 56.6;; 720; 0; Да
 Крымский инженерно-педагогический ун-т., г. Симферополь; 56.6;; 720; 0; Да
 Крымский федеральный ун-т. им. В.И. Вернадского; 64.7; -2.3; 2520; 2; Да
 Крымский федеральный ун-т. им. В.И. Вернадского; 64.7; -2.3; 2520; 2; Да
 Кубанский гос. аграрный ун-т. им. И.Т. Трубилина, г. Краснодар; 67.9; 1.4; 1001; 0; Нет
 Кубанский гос. аграрный ун-т. им. И.Т. Трубилина, г. Краснодар; 67.9; 1.4; 1001; 0; Нет
 Кубанский гос. медицинский ун-т., г. Краснодар ; 77.0; -1.9; 525; 0; Да
 Кубанский гос. медицинский ун-т., г. Краснодар ; 77.0; -1.9; 525; 0; Да
 Кубанский гос. технол. ун-т., г. Краснодар; 68.6; -2.2; 977; 1; Да
 Кубанский гос. технол. ун-т., г. Краснодар; 68.6; -2.2; 977; 1; Да
 Кубанский гос. ун-т., г. Краснодар; 76.6; 0.2; 1766; 7; Да
 Кубанский гос. ун-т., г. Краснодар; 76.6; 0.2; 1766; 7; Да
 Кузбасский гос. техн. ун-т. им. Т.Ф. Горбачева, г. Кемерово; 58.2; -1.4; 826; 0; Да
 Кузбасский гос. техн. ун-т. им. Т.Ф. Горбачева, г. Кемерово; 58.2; -1.4; 826; 0; Да
 Курганский гос. ун-т.; 63.8; -1; 697; 0; Нет
 Курганский гос. ун-т.; 63.8; -1; 697; 0; Нет
 Курский гос. медицинский ун-т.; 73.5; -0.3; 551; 0; Да
 Курский гос. медицинский ун-т.; 73.5; -0.3; 551; 0; Да
 Курский гос. ун-т.; 68.9; 0.2; 855; 0; Да
 Курский гос. ун-т.; 68.9; 0.2; 855; 0; Да
 Ленинградский гос. ун-т. им. А.С. Пушкина, г. Санкт-Петербург; 78.4; 0.1; 523; 1; Да
 Ленинградский гос. ун-т. им. А.С. Пушкина, г. Санкт-Петербург; 78.4; 0.1; 523; 1; Да
 Липецкий гос. педагогический ун-т.; 64.9; -0.7; 579; 1; Да
 Липецкий гос. педагогический ун-т.; 64.9; -0.7; 579; 1; Да
 Липецкий гос. техн. ун-т.; 63.4; -1.7; 571; 0; Нет
 Липецкий гос. техн. ун-т.; 63.4; -1.7; 571; 0; Нет
 Магнитогорский гос. техн. ун-т. им. Г.И. Носова; 64.8; 1; 1405; 2; Нет
