university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link
Национальный+исследовательский+Томский+гос.+ун-т.; 80.1; 0.7;2109;127; Да;0
;;;;;;
Национальный+исследовательский+Томский+политехн.+ун-т.; 74.8; -3.2;1809;54; Нет;https://ruvuz.ru/tomsk/tpu
;;;;;;
"Национальный+исследовательский+ун-т.+""Высшая+школа+экономики"",+г.+Москва"; 96.3; 1.1;2411;1062; Да;https://ruvuz.ru/moskva/niu-vshe
;;;;;;
"Национальный+исследовательский+ун-т.+""Высшая+школа+экономики"",+филиал,+г.+Нижний+Новгород"; 87.5; -0.5;429;33; Да;https://ruvuz.ru/nizhnij-novgorod/filial-mip/ochno-zaochnaya-forma-obucheniya
;;;;;;
"Национальный+исследовательский+ун-т.+""Высшая+школа+экономики"",+филиал,+г.+Санкт-Петербург"; 93.7; 0.9;561;201; Да;https://ruvuz.ru/moskva/niu-vshe
;;;;;;
Национальный+исследовательский+ун-т.+«МИЭТ»+(Моск.+ин-т.+электронной+техники); 78.3; -2.2;865;12; Нет;https://ruvuz.ru/120000-fotonika-priborostroenie-opticheskie-i-biotehnicheskie-sistemyi-i-tehnologii
;;;;;;
"Национальный+исследовательский+ун-т.+""Моск.+энергетический+ин-т."""; 73.1; -0.7;2392;23; Нет;https://ruvuz.ru/moskva/niu-mei/institut-teplovoj-i-atomnoj-energetiki/110000-elektronika-radiotehnika-i-sistemyi-svyazi
;;;;;;
Национальный+исследовательский+Южно-Уральский+гос.+ун-т.,+г.+Челябинск; 67.6; -2.8;2154;17; Да;0
;;;;;;
"Национальный+исследовательский+ядерный+ун-т.+""МИФИ"",+г.+Москва"; 93.5; -1.5;824;304; Да;https://ruvuz.ru/moskva/niyau-mifi
;;;;;;
Нижегородская+гос.+сельскохозяйственная+академия; 57.4; 1.2;407;0; Нет;0
;;;;;;
Нижегородский+гос.+архитектурно-строительный+ун-т.; 69.2; -1.3;732;0; Нет;0
;;;;;;
Нижегородский+гос.+педагогический+ун-т.+им.+Козьмы+Минина; 74.1; -1.4;700;0; Нет;0
;;;;;;
Нижегородский+гос.+техн.+ун-т.+им.+Р.Е.+Алексеева; 68.5; -0.4;1238;0; Да;0
;;;;;;
Нижневартовский+гос.+ун-т.; 65.5; 1.6;402;0; Нет;0
;;;;;;
Нижнетагильский+гос.+социально-педагогический+ин-т.; 65.5;;433;0; Да;0
;;;;;;
Новгородский+гос.+ун-т.+им.+Ярослава+Мудрого; 70.2; 0.3;948;2; Нет;0
;;;;;;
Новокузнецкий+ин-т.+(филиал)+Кемеровского+государственного+ун-т.а; 67.5; 0.8;381;0; Нет;https://ruvuz.ru/kemerovo/kemgu
;;;;;;
Новосибирский+гос.+аграрный+ун-т.; 59.7;0;745;0; Да;0
;;;;;;
Новосибирский+гос.+архитектурно-строительный+ун-т.; 67.2; 0.5;649;0; Нет;0
;;;;;;
Новосибирский+гос.+медицинский+ун-т.; 74.6; 0.1;570;0; Да;0
;;;;;;
Новосибирский+гос.+педагогический+ун-т.; 69.9; -0.7;998;0; Да;0
;;;;;;
