university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link;link2
Уральский+федеральный+ун-т.+им.+Б.Н.+Ельцина; 76.2; -1.4;4422;122; Да;https://urfu.ru/ru/applicant/;
Набережночелнинский+ин-т.+(филиал)+Казанского+(Приволжского)+федерального+ун-т.а; 66.1; 2.8;734;0; Да;https://kpfu.ru/chelny/abitur;
Национальный+исследовательский+Южно-Уральский+гос.+ун-т.,+г.+Челябинск; 67.6; -2.8;2154;17; Да;https://abit.susu.ru/;
Национальный+исследовательский+Нижегородский+гос.+ун-т.+им.+Н.И.+Лобачевского; 78.7; 1.5;1749;32; Да;http://www.unn.ru/site/education/informatsiya-priemnoj-komissii;
Национальный+исследовательский+Моск.+гос.+строительный+ун-т.; 74.3; -0.3;1755;5; Да;https://mgsu.ru/postupayushchim/;
Национальный+исследовательский+Мордовский+гос.+ун-т.+им.+Н.П.+Огарева,+г.+Саранск; 67.4; -0.2;1572;4; Нет;https://abiturs.mrsu.ru/;
Национальный+исследовательский+Томский+политехн.+ун-т.; 74.8; -3.2;1809;54; Нет;https://abiturient.tpu.ru/;
Национальный+исследовательский+Томский+гос.+ун-т.; 80.1; 0.7;2109;127; Да;http://abiturient.tsu.ru/;
"Национальный+исследовательский+технол.+ун-т.+""МИСиС"",+г.+Москва"; 88.8; 0.4;698;150; Да;https://misis.ru/;
"Национальный+исследовательский+ун-т.+""Высшая+школа+экономики"",+г.+Москва"; 96.3; 1.1;2411;1062; Да;https://ba.hse.ru/;
"Национальный+исследовательский+ун-т.+""Высшая+школа+экономики"",+филиал,+г.+Нижний+Новгород"; 87.5; -0.5;429;33; Да;https://nnov.hse.ru/bacnn/;
"Национальный+исследовательский+ун-т.+""Высшая+школа+экономики"",+филиал,+г.+Санкт-Петербург"; 93.7; 0.9;561;201; Да;https://spb.hse.ru/ba/;
"Национальный+исследовательский+ун-т.+""Моск.+энергетический+ин-т."""; 73.1; -0.7;2392;23; Нет;https://almamater13.ru/raznoe-2/misis-prohodnoj-ball-2018-na-byudzhet-prohodnye-bally-v-nitu-misis.html;
Национальный+исследовательский+ун-т.+«МИЭТ»+(Моск.+ин-т.+электронной+техники); 78.3; -2.2;865;12; Нет;https://www.miet.ru/;
"Национальный+исследовательский+ядерный+ун-т.+""МИФИ"",+г.+Москва"; 93.5; -1.5;824;304; Да;https://www.mephi.ru/;
Нижегородская+гос.+сельскохозяйственная+академия; 57.4; 1.2;407;0; Нет;https://nnsaa.ru/abiturientu/priyomnaya-komissiya/;
Нижегородский+гос.+архитектурно-строительный+ун-т.; 69.2; -1.3;732;0; Нет;https://www.nngasu.ru/Abitur/how-to-enter/about-pk.php;
Нижегородский+гос.+педагогический+ун-т.+им.+Козьмы+Минина; 74.1; -1.4;700;0; Нет;https://mininuniver.ru/entrant;
Нижегородский+гос.+техн.+ун-т.+им.+Р.Е.+Алексеева; 68.5; -0.4;1238;0; Да;https://www.nntu.ru/structure/view/podrazdeleniya/priemnaya-komissiya;
Нижневартовский+гос.+ун-т.; 65.5; 1.6;402;0; Нет;https://abiturient.nvsu.ru/;
Нижнетагильский+гос.+социально-педагогический+ин-т.; 65.5;;433;0; Да;https://ntspi.ru/about_academy/the_structure_of_the_academy/department/admitting_commission/;
Новокузнецкий+ин-т.+(филиал)+Кемеровского+государственного+ун-т.а; 67.5; 0.8;381;0; Нет;https://xn--e1afnjf.xn--c1akev.xn--p1ai/;
Новосибирский+национальный+исследовательский+гос.+ун-т.; 87.0; -0.8;1288;87; Нет;https://www.nsu.ru/n/education/apply/;
Новосибирский+гос.+аграрный+ун-т.; 59.7;0;745;0; Да;https://nskvuz.com/nsau;
Новосибирский+гос.+архитектурно-строительный+ун-т.; 67.2; 0.5;649;0; Нет;http://www.sibstrin.ru/abitur/;
Новосибирский+гос.+педагогический+ун-т.; 69.9; -0.7;998;0; Да;https://nspu.ru/abiturientu/;
Новосибирский+гос.+медицинский+ун-т.; 74.6; 0.1;570;0; Да;https://ngmu.ru/abitur;
Новосибирский+гос.+техн.+ун-т.; 73.1; -0.9;2023;3; Да;https://www.nstu.ru/entrance/committee;
Новгородский+гос.+ун-т.+им.+Ярослава+Мудрого; 70.2; 0.3;948;2; Нет;https://www.novsu.ru/;
Кабардино-Балкарский+гос.+аграрный+ун-т.+им.+В.М.+Кокова; 45.4; -0.6;360;0; Нет;https://www.kbgau.ru/abiturient/;
